,accuracy,best_params,c,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,f1,precision,recall
0,0.71397616468,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,62,165,12,5,487,18,0,64,110,0.633439736062,0.797085005936,0.615500031591
1,0.707027027027,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,79,150,1,37,481,3,17,63,94,0.639402575301,0.748750736454,0.602310904688
2,0.70150862069,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,92,137,1,50,466,4,28,57,93,0.641247850651,0.732072222829,0.606208585422
3,0.722643553629,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,81,151,1,17,493,3,8,76,93,0.652127936993,0.802545350739,0.611358953005
4,0.712121212121,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,62,170,2,6,503,1,0,87,93,0.625545018073,0.847452270382,0.589299480476
5,0.71027027027,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,59,177,0,2,500,3,0,86,98,0.624556409558,0.864272713072,0.590902568518
6,0.714594594595,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,59,176,1,4,507,3,0,80,95,0.627376012553,0.853528734263,0.593079488605
7,0.663783783784,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,12,216,12,0,506,3,0,80,96,0.512052488946,0.831929186044,0.529853545276
8,0.72,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,71,160,1,7,500,3,0,88,95,0.642245313665,0.846100522571,0.601850774227
9,0.719052744887,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.1,59,174,2,6,511,3,0,76,98,0.632909589473,0.843544502226,0.598991509428
10,0.722819593787,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,76,128,0,23,442,2,10,69,87,0.655750872355,0.788827195536,0.614370738191
11,0.703836930456,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,86,120,1,44,408,2,19,61,93,0.652318154186,0.746210232905,0.61723653521
12,0.719904648391,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,60,149,1,8,453,3,0,74,91,0.642130506121,0.836788673738,0.604507513559
13,0.708283313325,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,44,163,0,3,463,2,0,75,83,0.607238096864,0.857708607466,0.575731027162
14,0.714628297362,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,57,155,0,6,449,3,0,74,90,0.635142505783,0.844915242717,0.59933258577
15,0.712230215827,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,50,165,1,3,452,0,0,71,92,0.627132783085,0.86320676081,0.596435084267
16,0.710213776722,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,55,169,0,2,451,3,0,70,92,0.631499298987,0.86231884058,0.600824012191
17,0.717365269461,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,78,124,0,36,435,2,19,55,86,0.653196004723,0.757402649354,0.614433449159
18,0.694411414982,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,75,139,0,34,425,3,20,61,84,0.628651057391,0.742304196739,0.593157206241
19,0.732461355529,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.2,63,145,1,8,460,2,0,69,93,0.658375345585,0.846188841755,0.618077628343
20,0.757217847769,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,80,102,1,15,411,5,2,60,86,0.702273445899,0.825600787883,0.65727861291
21,0.723684210526,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,58,136,1,4,411,2,0,67,81,0.648973973293,0.856383564248,0.610114901842
22,0.731770833333,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,58,128,0,8,420,3,0,67,84,0.65641969556,0.842410649812,0.614199101985
23,0.708994708995,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,69,112,1,38,383,4,13,52,84,0.650300612982,0.739667680025,0.614685246324
24,0.73167539267,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,75,104,7,24,385,23,5,42,99,0.678942003557,0.737880929199,0.657503900645
25,0.718997361478,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,54,136,0,8,415,0,0,69,76,0.637378544603,0.846774193548,0.5964786426
26,0.722589167768,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,80,101,0,42,381,4,18,45,86,0.672283259311,0.749981426262,0.637147273698
27,0.716162943495,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,56,137,0,6,414,1,0,72,75,0.634988291487,0.851531465489,0.594577481221
28,0.727391874181,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,67,124,0,10,408,2,0,72,80,0.660211894587,0.84041210499,0.616176567072
29,0.738726790451,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.3,67,122,0,7,409,3,0,65,81,0.673254953186,0.85197757681,0.628475175532
30,0.740740740741,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,58,97,1,14,367,5,5,53,75,0.670544908451,0.796345760885,0.628827282768
31,0.732374100719,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,45,126,0,3,389,3,0,54,75,0.647550175726,0.860897999189,0.609787790052
32,0.71884057971,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,51,126,1,7,371,2,0,58,74,0.644640082941,0.836272591445,0.607812901337
33,0.727536231884,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,57,123,0,7,375,2,0,56,70,0.657952460864,0.846580843027,0.616261574074
34,0.768240343348,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,75,92,0,10,391,0,3,57,71,0.707412136475,0.858782267116,0.65538295779
35,0.721068249258,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,53,119,1,6,373,4,0,58,60,0.637401844033,0.833187942002,0.596241099067
36,0.708638360176,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,54,127,0,5,358,1,0,66,72,0.638326038726,0.850427791615,0.601199385129
37,0.71018651363,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,48,139,0,4,373,0,0,59,74,0.634523105601,0.858772284341,0.600821796616
38,0.715542521994,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,47,128,0,7,370,0,0,59,71,0.636413077198,0.844881086952,0.598719211823
39,0.721815519766,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.4,60,125,1,5,359,3,0,56,74,0.660415612872,0.845536562203,0.62333768309
40,0.709935897436,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,48,117,0,10,331,3,0,51,64,0.639693535182,0.8153789136,0.603213377455
41,0.743548387097,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,63,94,0,3,327,2,0,60,71,0.688509632393,0.868993958035,0.642732792404
42,0.738437001595,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,46,110,3,6,337,12,0,33,80,0.670811785106,0.809601327036,0.648856184173
43,0.739268680445,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,61,95,0,8,339,1,0,60,65,0.67602538256,0.851713757892,0.628387857353
44,0.762903225806,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,73,86,0,7,338,2,0,52,62,0.709631016919,0.863778011204,0.659014182185
45,0.737096774194,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,61,92,1,9,323,3,0,58,73,0.682023628187,0.834118594584,0.639178302993
46,0.746774193548,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,51,102,1,4,348,2,0,48,64,0.673341161615,0.860430596198,0.628549416685
47,0.733870967742,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,57,99,0,9,326,0,0,57,72,0.675991013209,0.846661637118,0.632219492876
48,0.747145187602,"{'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 1}",0.5,62,92,4,8,334,4,0,47,62,0.684075298306,0.825853216551,0.642176773939
