,accuracy,best_params,c,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,f1,precision,recall
29,0.857894736842,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,160,39,0,19,384,18,5,27,108,0.84309477804,0.860013802622,0.829187562061
30,0.865412445731,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,149,26,1,16,340,19,5,26,109,0.852750551432,0.862926255774,0.843943001443
31,0.87701317716,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,153,14,0,27,345,14,1,28,101,0.865475424233,0.871679201729,0.862291041671
32,0.874635568513,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,153,22,1,12,338,28,0,23,109,0.864357657748,0.866544775717,0.863085217252
33,0.872159090909,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,143,29,2,11,363,18,2,28,108,0.857595137268,0.874900793651,0.843489394758
34,0.890532544379,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,165,15,0,16,336,10,1,32,101,0.879368476227,0.897929303935,0.866191601843
35,0.878299120235,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,158,9,1,20,344,8,4,41,97,0.861095843711,0.885440884818,0.849435321607
36,0.85860058309,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,159,16,0,11,346,12,0,58,84,0.83489368415,0.878034547152,0.812596700347
37,0.845705967977,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,132,39,0,14,359,12,1,40,90,0.825046283692,0.866648942682,0.797140085931
38,0.894428152493,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,155,17,1,17,344,17,0,20,111,0.886284247154,0.888171682028,0.884444970518
39,0.88455988456,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,152,21,1,12,359,13,2,31,102,0.870003768377,0.889484104722,0.85467153576
40,0.820097244733,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,135,20,5,17,296,30,3,36,75,0.792861425146,0.797898338221,0.788206165925
41,0.900161030596,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,145,15,2,10,320,10,4,21,94,0.886174192239,0.899206180953,0.87538472179
42,0.906403940887,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,141,12,1,10,317,9,1,24,94,0.894930706754,0.909831576654,0.882984254308
43,0.852564102564,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,132,30,3,11,320,11,2,35,80,0.830078955295,0.864192496181,0.806477732794
44,0.863924050633,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,143,18,0,11,319,20,3,34,84,0.843639948011,0.859452869368,0.831280735075
45,0.900641025641,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,139,8,1,15,329,13,1,24,94,0.887373374055,0.892833968213,0.883557927676
46,0.872611464968,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,136,16,0,20,308,9,0,35,104,0.864523726593,0.883362524253,0.852294956164
47,0.890499194847,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,134,20,1,18,315,9,2,18,104,0.882579438611,0.891587282224,0.874759479344
48,0.881578947368,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,138,15,1,15,311,8,1,32,87,0.866834460765,0.890356326634,0.850747206885
49,0.887459807074,"{'svm__C': 2048, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.5,141,12,0,13,315,12,1,32,96,0.875666183837,0.892001211383,0.864075087399
50,0.900355871886,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,117,8,0,16,316,11,5,16,73,0.878429329465,0.882095156903,0.877959514505
51,0.898734177215,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,134,9,0,12,285,12,2,21,78,0.883725888159,0.892277992278,0.877223420624
52,0.875886524823,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,120,14,1,9,279,28,0,18,95,0.866910275305,0.864489233241,0.870836081965
53,0.865724381625,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,118,31,0,14,284,9,3,19,88,0.855780968668,0.877196656706,0.839009247317
54,0.879858657244,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,122,24,0,5,302,10,0,29,74,0.861342089283,0.897428842521,0.835581476104
55,0.86917562724,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,108,13,0,21,286,11,4,24,91,0.855426268927,0.863211951447,0.852212978335
56,0.89110707804,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,129,11,3,9,276,18,1,18,86,0.878036369527,0.878904634834,0.877345536751
57,0.849023090586,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,109,30,1,25,282,14,2,13,87,0.838620421471,0.840701357466,0.83667242598
58,0.857657657658,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,114,30,2,13,277,9,1,24,85,0.845574862044,0.87096655757,0.826656865073
59,0.885509838998,"{'svm__C': 512, 'svm__kernel': 'rbf', 'svm__gamma': 64}",0.6,119,23,1,16,288,8,2,14,88,0.876620169691,0.887327826562,0.867132867133
60,0.88188976378,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,115,18,1,3,264,7,1,30,69,0.863258605608,0.902881432293,0.837237534953
61,0.875247524752,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,100,17,2,11,266,12,1,20,76,0.859094579683,0.871729792027,0.848085504669
62,0.887295081967,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,111,13,1,12,242,8,0,21,80,0.878964935423,0.892709007696,0.867914443353
63,0.895256916996,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,125,8,1,12,255,13,1,18,73,0.881283671417,0.884116956943,0.879009455826
64,0.877952755906,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,116,29,1,6,257,8,0,18,73,0.867838440369,0.895486103804,0.848352611179
65,0.906066536204,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,114,14,1,9,263,7,0,17,86,0.898611306218,0.912093569481,0.887108238764
66,0.852652259332,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,102,28,2,13,264,13,1,18,68,0.834193548387,0.850066785496,0.821560431905
67,0.883495145631,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,99,25,0,19,268,4,0,12,88,0.878059114636,0.891397771523,0.866449765362
68,0.889328063241,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,111,17,0,11,262,14,1,13,77,0.878541544376,0.881951048172,0.875411110739
69,0.895491803279,"{'svm__C': 8192, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.7,117,9,0,7,251,3,0,32,69,0.880487876602,0.920490253842,0.857808523053
