,AvgRequestNo,AvgTimeBetwReq,AvgTimeBetwRespReq,AvgDataRate,AvgPacketNo,AvgPacketSize,AvgConcurrentReq,MaxReq,AvgDuration,Class
596,0.000936936903956,0.000606785364187,0.174466998273,9.79901830364e-05,0.00940781134214,0.984131991189,0.000789197858763,0.0309045961884,0.000104774118785,normal
597,0.00158731401084,7.17159944655e-05,7.17159944655e-06,0.000138650922633,0.0207175555345,0.998989937812,0.0146420155367,0.0370532638072,0.000100402392252,normal
598,0.000432339579998,0.00117349314571,0.0010641658956,9.15793199011e-05,0.00815552889166,0.999929036981,0.000346439597765,0.00851900650243,0.000100098326404,normal
599,0.00143594578432,0.000431650186399,0.00041983494407,0.000127604617147,0.0125816577141,0.998874764736,0.00112717411813,0.0456856036699,0.000143358273585,normal
600,0.000852773337603,0.000675080585155,0.00357435805886,0.0001047931617,0.00996066595667,0.999609819525,0.000635593306833,0.0258186050565,0.0001397242156,normal
601,0.279973499493,0.000114274897752,0.000182839836404,0.000308542223931,0.279973499493,0.794210539378,0.280602011431,0.365679672807,0.000211408560842,flooding
602,0.327504103037,6.3009254652e-05,0.000121517848257,0.000364553544772,0.327504103037,0.625591885473,0.327504103037,0.535578664542,0.00365003610877,flooding
603,0.32830474831,2.04069678755e-05,0.000198967936786,0.000395385002588,0.355923028458,0.354571066837,0.508439604618,0.614759907249,0.0580807814446,flooding
604,0.364474548133,3.67114098501e-05,8.81073836402e-05,0.000403825508351,0.364474548133,0.510288596916,0.413095139338,0.550671147751,0.00597294638261,flooding
605,0.26383206639,8.15023202277e-05,0.000375816254383,0.000294313934155,0.26383206639,0.629379028425,0.357500871865,0.565988334914,0.128520103186,flooding
606,0.262016781425,8.32474682395e-05,0.000397737903811,0.000291366138838,0.262016781425,0.642855449183,0.338206714301,0.568857699637,0.106996120985,flooding
607,0.342816263508,1.63448204209e-05,4.66994869168e-05,0.000382935792718,0.344607188831,0.324561434072,0.424829902431,0.691152406369,0.014509530585,flooding
608,0.302328171094,1.88997926777e-05,9.21364893036e-05,0.000380358327638,0.34130190607,0.328383897774,0.452987868424,0.689842432735,0.0565151050544,flooding
609,0.281810999881,6.39046531748e-05,0.000349345437356,0.000315262955662,0.281810999881,0.59218311942,0.367443235135,0.59218311942,0.0692002187679,flooding
610,0.270198394706,6.05554448019e-05,0.000286629105396,0.000298740194356,0.270198394706,0.561147121831,0.36544807235,0.62977662594,0.0944907160689,flooding
611,0.305545604671,4.48320852007e-05,0.000198008376303,0.000339976646105,0.305590436756,0.519304986908,0.39984989589,0.616441171509,0.0608184595818,flooding
612,0.306722068921,4.38236989457e-05,0.000171642820871,0.000339633666829,0.306722068921,0.507624512788,0.404529261018,0.624487709976,0.0230549176204,flooding
613,0.353825009737,3.50866039471e-06,2.33910692981e-05,0.000392969964207,0.353834366165,0.162567931622,0.496945606344,0.690036544293,0.00867457804919,flooding
614,0.283594140379,4.09492658118e-05,0.000177446818518,0.000337831442947,0.302806170923,0.474328995653,0.35967105138,0.685900202347,0.055428243715,flooding
615,0.157980178617,1.75144322192e-05,6.3051955989e-05,0.000180398651857,0.162350029456,0.243450607846,0.209087291832,0.919507691506,0.0143040367934,flooding
616,0.326218158466,3.03502983504e-06,1.61868257869e-05,0.000363191903593,0.326351699779,0.140623049023,0.456417903359,0.747629016031,0.00590414470576,flooding
617,0.340501596755,2.72454557406e-05,0.000102927277242,0.000393545471809,0.354696479195,0.420790927549,0.437325891911,0.623618209174,0.0320981741353,flooding
618,0.338814759933,2.6424028071e-05,0.000105696112284,0.000387552411708,0.347857649539,0.408104433541,0.454052882353,0.625368664347,0.0200059252529,flooding
619,0.338547528293,2.64031867819e-05,0.000105612747128,0.000387246739468,0.347583285547,0.40778255141,0.453694759536,0.624875420506,0.0444570991659,flooding
